close
28.71
6.02
16.92
37.79
4.03
25.26
41.3
77.16
14.05
15.11
31.28
206.47
127.39
31.79
8.28
16.55
18.32
16.01
20.7
48.89
53.2
55.22
101.7
66.92
35.32
