code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
688011 ,新光光电,0.596,79.27,79.97,79.98,78.16,78.8,1807536.0,7.93651,143742068.0,81.722,19.573,792700.0,180536.957307,元器件,黑龙江,666.69,0.23,1.0,4.79,3.04,1.07,1.83,1.83,0.059000000000000004,11.69,6.74,20190722.0,0.41,0.41,0.0,0.0,60.59,9.62,20704.0
688010 ,福光股份,-0.924,82.58,82.02,84.2,81.0,83.35,6106025.0,17.22641,504240510.0,103.718,11.582,1268279.685294,292710.706212,电器仪表,福建,138.27,0.35,1.54,9.95,4.36,2.43,3.6,2.34,0.301,11.3,7.37,20190722.0,3.16,2.06,0.0,0.0,36.47,17.07,30737.0
688009 ,中国通号,-0.471,10.56,10.62,10.66,10.51,10.61,48865599.0,4.12587,517109781.0,27.789,3.471,11182848.864,1250695.3536,运输设备,北京,41.52,11.84,105.9,836.01,687.34,39.11,74.09,0.7,0.064,3.5,3.03,20190722.0,93.1,0.88,0.0,0.0,24.43,8.58,696322.0
688008 ,澜起科技,-0.502,75.38,75.7,76.39,75.0,75.76,3532183.0,4.74853,267667199.0,86.644,0.0,8516537.095282,560712.893768,半导体,上海,94.79,0.74,11.3,43.78,0.0,0.0,0.0,0.0,0.2,6.02,12.58,20190722.0,0.0,0.0,0.0,0.0,0.0,55.78,49212.0
688007 ,光峰科技,3.288,53.4,52.0,56.88,51.2,51.7,17347931.0,30.33231,940026686.0,73.151,26.176,2411300.55474,305410.15542,元器件,深圳,175.32,0.57,4.52,22.05,11.52,4.36,2.06,0.46,0.147,4.09,12.66,20190722.0,1.79,0.4,0.0,0.0,40.03,7.8,37065.0
688006 ,杭可科技,-0.417,62.13,62.3,62.78,61.7,62.39,1988959.0,5.40684,123853147.0,78.151,20.505,2491413.0,228551.244036,电气设备,浙江,69.87,0.37,4.01,25.61,21.26,2.9,1.08,0.27,0.446,5.26,11.85,20190722.0,5.66,1.41,0.0,0.0,48.1,28.43,23907.0
688005 ,容百科技,-1.027,53.95,53.65,54.8,53.65,54.51,2365886.0,5.8077000000000005,128244565.0,96.339,6.626,2391526.3515,219776.476465,电气设备,浙江,105.22,0.41,4.43,49.13,30.54,10.39,24.83,5.6,0.29,8.14,6.69,20190722.0,3.43,0.77,0.0,0.0,13.65,5.89,27505.0
688003 ,天准科技,-2.437,57.65,58.5,59.0,57.08,59.09,5424948.0,12.27962,314247531.0,87.348,19.542,1116104.0,254688.954495,专用机械,江苏,622.6,0.44,1.94,6.46,5.23,0.5,1.18,0.61,0.047,8.07,7.32,20190722.0,1.41,0.73,0.0,0.0,49.33,4.8,38111.0
688002 ,睿创微纳,-1.39,58.87,59.23,59.66,58.63,59.7,3595827.0,6.97291,212667471.0,158.04,21.169,2619715.0,303583.800709,通信设备,山东,205.34,0.52,4.45,12.44,9.02,2.25,4.87,1.09,0.145,4.95,12.05,20190722.0,1.88,0.42,0.0,0.0,51.38,25.46,31039.0
688001 ,华兴源创,-0.76,64.01,64.5,65.13,63.64,64.5,2455827.0,6.77477,158024807.0,95.537,23.707,2566801.0,232033.56158,专用机械,江苏,96.01,0.36,4.01,15.24,11.38,3.34,3.11,0.78,0.336,4.63,13.94,20190722.0,2.78,0.69,0.0,0.0,49.31,19.3,23530.0
